"","logFC","logCPM","F","PValue","FDR","genes"
"ydbL",0.152132691398945,4.66771300009352,1.40877690063704,0.247534258757697,0.312453864721028,"ydbL"
"envR",-0.266839985537112,2.30594282305047,1.40578084328949,0.248022841539059,0.312988908041854,"envR"
"ybaA",-0.184772695430633,4.0237537016903,1.40114328787974,0.248781562333583,0.313864480179327,"ybaA"
"RydC",-0.325237043218913,3.00330655479992,1.40744267442928,0.249298605212177,0.314434772727849,"RydC"
"RprA",0.250047615280688,3.27326152142827,1.39668131588833,0.249514380629616,0.314624885063987,"RprA"
"SL1344_1196",0.169508561987988,4.65511874223355,1.39383003571276,0.249984121591273,0.315135052420377,"SL1344_1196"
"psd",0.13457995383129,8.05032353141637,1.38973489945682,0.250660781035851,0.315905731597293,"psd"
"sciD",0.200103046770944,3.3001857429401,1.38869411077356,0.250833131985349,0.31595829672217,"sciD"
"pps",-0.153591335673659,6.87470865229484,1.39103551500437,0.250797743033579,0.31595829672217,"pps"
"dcyD",-0.144030849002216,5.89415245284381,1.3880784509059,0.250935155056351,0.315998289192107,"dcyD"
"shfB2",0.308065986151208,2.19722089332917,1.38771420897033,0.250995540019863,0.315998289192107,"shfB2"
"dcm",0.100682666948507,6.61048852134004,1.3804845985837,0.252197972943264,0.317429506928589,"dcm"
"ymdC",-0.117805321107853,5.97556079393641,1.37900909677705,0.252444292495596,0.317656878980541,"ymdC"
"SL1344_2600",-0.122102404940009,5.94406225774731,1.37751622278859,0.252693828500135,0.317888179052056,"SL1344_2600"
"SL1344_2559",0.331124007311195,1.76479894280273,1.37507981190982,0.253101762917627,0.318235827198483,"SL1344_2559"
"ydhA",0.307684674339652,2.07103295735273,1.37515636999727,0.253088931659314,0.318235827198483,"ydhA"
"SL1344_P1_0029",0.312427326524759,2.47494364887436,1.36988706172998,0.253974042616221,0.319249595669091,"SL1344_P1_0029"
"yciW",-0.132194591526901,5.06579892241617,1.36946901866879,0.254044434560663,0.319255113008554,"yciW"
"yhgI",-0.217879201333452,7.96589719336115,1.4004467889115,0.25527133212018,0.320713619081899,"yhgI"
"trxB",-0.122596506366638,9.52562403892502,1.35423662389449,0.256626647195001,0.322165349722871,"trxB"
"ung",0.127924549275902,6.38023649064287,1.35453636678523,0.25657550735992,0.322165349722871,"ung"
"SL1344_3743",-0.23348376559016,3.90753271555625,1.35847750550894,0.256555809407305,0.322165349722871,"SL1344_3743"
"coaA",-0.135170708134304,7.40289342942709,1.34989252189225,0.257369290351547,0.32301381874168,"coaA"
"ygiC",0.107412811011357,8.17635048606317,1.34748022651406,0.257782886531993,0.323448981103826,"ygiC"
"SL1344_1985",0.223316907005713,3.12275762827956,1.34701784957076,0.257862261075273,0.323456622102718,"SL1344_1985"
"samA",0.153177839261609,4.98624858209449,1.3466657910588,0.257922718927059,0.323456622102718,"samA"
"yjeI",0.130546137108755,7.08608674977342,1.34288373708351,0.258573360447481,0.324188528896958,"yjeI"
"SL1344_1972",0.199019730247396,3.62740169110222,1.33936255879718,0.259181039273568,0.324866205484905,"SL1344_1972"
"SL1344_4247",-0.209713573053299,4.10408774853372,1.33708882022134,0.259814637432311,0.325576010689142,"SL1344_4247"
"moaB",0.143538400255322,6.3797277690719,1.32943599581324,0.260904167586449,0.326856632638087,"moaB"
"csgB",0.3504990378655,1.48339981482298,1.32750073992402,0.261241837768773,0.327194916956902,"csgB"
"araD",0.250051277002201,3.57086985980353,1.32982210214219,0.26148283165548,0.327411974299134,"araD"
"deoC",-0.153258828225605,5.56620912573703,1.32210054106506,0.262187096090261,0.328208846736178,"deoC"
"eutT",0.259978060480326,2.33340058291547,1.31362055584277,0.263680454596125,0.329992848352253,"eutT"
"SL1344_2730",0.273754180354554,6.29798125355109,1.3712724397314,0.263780324293928,0.330032444027349,"SL1344_2730"
"dgoA",0.246502701431107,2.2982008791414,1.30173748291094,0.26579182950441,0.332463170238643,"dgoA"
"SL1344_1956",-0.211115272306517,4.31885555715127,1.30376587844737,0.265974550761461,0.332605714072695,"SL1344_1956"
"SL1344_2568",0.267432436678088,2.21645943374751,1.29785737683355,0.266486022577856,0.333159186148641,"SL1344_2568"
"SL1344_1830A",0.391833759848939,1.66460654566676,1.29696178509347,0.266652963005166,0.333281752469248,"SL1344_1830A"
"yjbG",0.233266682119258,3.19186564504117,1.29318856477798,0.267324468687773,0.33403473392993,"yjbG"
"hupB",-0.119490391219385,10.4049806087333,1.28934639990399,0.268017051708435,0.334813656795893,"hupB"
"thiE",0.201177796113924,3.35309747220721,1.28142803806508,0.269451830000457,0.336519107077772,"thiE"
"bcfH",0.137850233999105,4.71871569295552,1.27687463343041,0.270281449695453,0.33746808781025,"bcfH"
"yeaA",0.128065048471586,6.72464713314133,1.26786090663388,0.27193363649339,0.339443354766071,"yeaA"
"clpX",-0.103258332156633,10.1322962737606,1.26710724502262,0.272072380148761,0.339528922285747,"clpX"
"ybdZ",-0.600425586197929,2.22423699846322,1.32196351419626,0.272201783243233,0.339602792248521,"ybdZ"
"yafS",-0.134021923106926,5.25675330484827,1.26564413529523,0.272341993654117,0.339690103998185,"yafS"
"yajD",0.121600584935921,6.76947708010626,1.26347889297127,0.272741636631861,0.340013220718637,"yajD"
"SL1344_2327",0.167109192778547,3.91516557327637,1.26364271061754,0.272711373555034,0.340013220718637,"SL1344_2327"
"hemY",-0.118772407902964,7.39192509320447,1.26154357445954,0.27309949467347,0.340371619617514,"hemY"
"yigG",-0.27005002133621,3.02006804006508,1.26072311650508,0.273257688919268,0.34048105134016,"yigG"
"SL1344_2637",0.460050677673932,0.407171886341828,1.25961965832292,0.273455856391902,0.340640220800317,"SL1344_2637"
"SL1344_1302",-0.167320083005321,4.26780192624822,1.25713643509358,0.273916721633188,0.341126463063783,"SL1344_1302"
"SL1344_4427A",-0.342596212996444,1.65248344511919,1.25601426934524,0.274125321314918,0.341298373024519,"SL1344_4427A"
"sapD",-0.121837225354342,6.00961334784069,1.25507788565252,0.274299545933428,0.34142740702007,"sapD"
"SL1344_1937",-0.15496241743518,5.20354723887995,1.25010898229955,0.275226508806994,0.342493085438495,"SL1344_1937"
"SL1344_0738",0.186042940656671,4.47490164389919,1.24745547343272,0.275879147628968,0.343216933405689,"SL1344_0738"
"SL1344_3091",0.182269373433859,4.940476051084,1.24679344060107,0.276476223552444,0.343871301960189,"SL1344_3091"
"iolG2",-0.172547850551106,3.52399822056144,1.2420704368683,0.276734879423871,0.34410452744814,"iolG2"
"thiJ",0.142725265966966,4.85023877244023,1.24085180279164,0.276964497221615,0.344301535096621,"thiJ"
"SL1344_0292",0.271216571510196,1.89099806965672,1.23994034988149,0.277136399552168,0.344426712393071,"SL1344_0292"
"ygfA",0.161013962407762,4.71202859363717,1.23698278739844,0.277695173846309,0.345032508578114,"ygfA"
"ycbL",0.103685200101218,7.23457804750433,1.23569496559053,0.27793894762335,0.345246710234757,"ycbL"
"yabI",-0.108725500297319,5.9265570453284,1.23454027046907,0.278157761933504,0.345429806026279,"yabI"
"adh",-0.148870028729399,8.04093782272843,1.23506060774915,0.278829231178433,0.346085961306153,"adh"
"strB",-0.114355901179776,9.21557664483009,1.23100795556534,0.278828548495997,0.346085961306153,"strB"
"rhaD",0.183374895899115,3.3274888326812,1.22428329574961,0.280111481913384,0.347588311445624,"rhaD"
"osmB",0.212880723362553,5.32657581964754,1.23881733733654,0.280500386482286,0.347959360836101,"osmB"
"yegU",-0.148045246146692,4.75408639626913,1.22197127129253,0.28055437404606,0.347959360836101,"yegU"
