"","logFC","logCPM","F","PValue","FDR","genes"
"dppA",1.21302649472017,7.35368393398115,172.730024391591,4.2910211834352e-12,1.59658995879046e-10,"dppA"
"yafK",-1.48605749292713,7.02991845140349,172.389923346902,4.37714331625432e-12,1.61620169623833e-10,"yafK"
"dadA",1.48401843110819,5.77819198149433,171.143634410047,4.70918082861888e-12,1.71280227991111e-10,"dadA"
"yhfG",1.83406972348902,4.24850845625421,171.142170555768,4.70958658730985e-12,1.71280227991111e-10,"yhfG"
"yidH",1.34939551836802,5.488603509381,170.099506572763,5.00849851795164e-12,1.8079184575621e-10,"yidH"
"hypD",1.48218779540196,5.7119661810627,167.956226312014,5.68986670147872e-12,2.03865816555945e-10,"hypD"
"sodCa",1.84523549626218,8.14484657249246,201.54431206769,6.00550951477745e-12,2.09670099486179e-10,"sodCa"
"SL1344_1201",1.39477635346536,5.78451673320318,167.331338079932,5.90705143518145e-12,2.09670099486179e-10,"SL1344_1201"
"SL1344_2269",1.89564765364317,6.9196671889242,201.472346486148,6.02525198027267e-12,2.09670099486179e-10,"SL1344_2269"
"rpmE",-1.3820838678317,9.68749134486608,167.202391407966,5.95298125051755e-12,2.09670099486179e-10,"rpmE"
"gst",1.25519384241944,7.7535281654381,164.550190330849,6.98932989705301e-12,2.41481347943182e-10,"gst"
"ybeJ",1.43102511861653,5.59674963562076,163.238188448426,7.57327355295653e-12,2.59800880678374e-10,"ybeJ"
"purB",-1.50664658834857,7.62502348248521,162.132412751302,8.10675157659482e-12,2.76143361802741e-10,"purB"
"SL1344_0794",1.84313435194426,6.96499819801078,191.136905160971,8.52881032272758e-12,2.88488500217016e-10,"SL1344_0794"
"lipA",-1.45621061542961,8.22697186653427,161.001499458925,8.69494453886253e-12,2.92065602322764e-10,"lipA"
"cdaR",1.48797692451992,5.46816902154816,158.610568300201,1.0097286617664e-11,3.36831554273385e-10,"cdaR"
"upp",-1.78405321337874,8.39959249598149,163.59906372124,1.02920952802719e-11,3.40978526511474e-10,"upp"
"chaA",1.14040658759038,7.72518636829612,157.382854844832,1.09115177867875e-11,3.54552334508893e-10,"chaA"
"proV",1.68353082352037,7.779389827909,177.04679866785,1.07976694472362e-11,3.54552334508893e-10,"proV"
"proX",1.58811301452964,7.12214270469133,166.707679536638,1.09217072238629e-11,3.54552334508893e-10,"proX"
"tktB",1.33795184980353,6.50968313555259,156.881911400799,1.12640413560366e-11,3.60822304895027e-10,"tktB"
"speB",-1.22187588941049,8.83363083055155,156.913681469786,1.12413199192679e-11,3.60822304895027e-10,"speB"
"ycdW",-1.52054590337909,7.77401826884379,156.665536832373,1.14201245391988e-11,3.63415410500688e-10,"ycdW"
"argS",-1.27901899741338,8.585024051152,156.151344551365,1.18005649260423e-11,3.7306753298867e-10,"argS"
"SL1344_1786",1.31533046867812,5.76895166259297,155.089410950626,1.26306621186897e-11,3.96717614727935e-10,"SL1344_1786"
"ssrB",2.08294602683837,5.76346218980067,185.902599954946,1.28393179809558e-11,4.00669555315374e-10,"ssrB"
"SL1344_P1_0061",1.50876194293097,10.163149229676,156.061316042223,1.32670573902009e-11,4.1136382433591e-10,"SL1344_P1_0061"
"ypeC",1.72770672678358,5.19380716859598,153.605869881101,1.38985449517613e-11,4.28199120583882e-10,"ypeC"
"yehZ",1.67778982117915,5.27914364395806,153.451993849267,1.40377794163722e-11,4.29751512892356e-10,"yehZ"
"ycfS",1.46854398244378,5.62729229651135,153.143324845919,1.43216763723519e-11,4.3568521140293e-10,"ycfS"
"gdhA",1.3229097125267,6.92315167608382,152.890855426286,1.4558530625957e-11,4.40122578985963e-10,"gdhA"
"rna",1.26491777261287,8.12632250986118,152.431215288361,1.50007608469954e-11,4.47893087758745e-10,"rna"
"ybhS",1.64960169172548,5.9011878949287,157.98000148012,1.49451174037774e-11,4.47893087758745e-10,"ybhS"
"treF",1.15485165139926,6.88269283660671,152.189135272292,1.52395311148097e-11,4.50825565155911e-10,"treF"
"yifE",-1.69411355049336,9.36619451222174,152.143121354786,1.52853819899875e-11,4.50825565155911e-10,"yifE"
"prs",-1.38839676603554,9.21976964675377,151.779212527606,1.56533344074355e-11,4.58879869871307e-10,"prs"
"pyrH",-1.66353685252921,9.11462041874849,151.295519929565,1.61573992174573e-11,4.70803253101452e-10,"pyrH"
"narK",1.63069131114613,4.43170825699224,150.378012649655,1.71627716451691e-11,4.9710375118373e-10,"narK"
"yddX",1.87865631807799,4.70517752030807,149.474325252089,1.82198861012057e-11,5.24580887330548e-10,"yddX"
"slrP",1.18311080088467,8.15526290705485,149.066406799818,1.87200929995609e-11,5.35308655357193e-10,"slrP"
"purA",-1.3082148984486,9.934541278821,148.991288773843,1.88138249763744e-11,5.35308655357193e-10,"purA"
